id;periodo;central;agente;agente_descripcion;region;categoria_region;tipo_maquina;fuente_generacion;tecnologia;potencia_instalada_mw;fecha_proceso;lote_id_log;mes;indice_tiempo;anio
2;1/10/2015 00:00;ABRO;CTBROWNG;C.T. ALMIRANTE BROWN;GRAN BS.AS.;Gba - Litoral - Buenos Aires;DI;Térmica;Motor Diesel;25;2018-10-08 15:47:17.851306;4;10;2015-10;2015
3;1/10/2015 00:00;ACAJ;CAPEXSAG;C.T. AGUA DEL CAJON;COMAHUE;Comahue;TG;Térmica;Ciclos Combinados;184.4;2018-10-08 15:47:17.851306;4;10;2015-10;2015
4;1/10/2015 00:00;ADTOHI;HIDIAMAG;H. DIAMANTE SA;CUYO;Cuyo;HI;Hidráulica;Hidráulica;150;2018-10-08 15:47:17.851306;4;10;2015-10;2015
5;1/10/2015 00:00;AESP;CTAESPAG;C.T. AES PARANA;BUENOS AIRES;Gba - Litoral - Buenos Aires;TG;Térmica;Ciclos Combinados;525.96;2018-10-08 15:47:17.851306;4;10;2015-10;2015
6;1/10/2015 00:00;AESP;CTAESPAG;C.T. AES PARANA;BUENOS AIRES;Gba - Litoral - Buenos Aires;TV;Térmica;Ciclos Combinados;319.3;2018-10-08 15:47:17.851306;4;10;2015-10;2015
7;1/10/2015 00:00;ALEM;CTALEMAG;CT ALEM - AGGREKO;NORESTE;Nea;DI;Térmica;Motor Diesel;15;2018-10-08 15:47:17.851306;4;10;2015-10;2015
8;1/10/2015 00:00;ALICHI;HALICURG;AES ALICURA.;COMAHUE;Comahue;HI;Hidráulica;Hidráulica;1050;2018-10-08 15:47:17.851306;4;10;2015-10;2015
9;1/10/2015 00:00;ALUM;CTALUMSG;CT ALUMINÉ - SECCO;COMAHUE;Comahue;DI;Térmica;Motor Diesel;6.3;2018-10-08 15:47:17.851306;4;10;2015-10;2015
10;1/10/2015 00:00;AMEGHI;HAMEGHIG;HIDROELECTRICA AMEGHINO SA;PATAGONICA;Patagonia;HI;Hidráulica;Hidráulica;46.8;2018-10-08 15:47:17.851306;4;10;2015-10;2015
11;1/10/2015 00:00;ANAT;CTANA2SG;CT AÑATUYA II - SULLAIR;NOROESTE;Noa;DI;Térmica;Motor Diesel;11.5;2018-10-08 15:47:17.851306;4;10;2015-10;2015
12;1/10/2015 00:00;ANAT;CTANATSG;CT AÑATUYA - SULLAIR;NOROESTE;Noa;DI;Térmica;Motor Diesel;19.2;2018-10-08 15:47:17.851306;4;10;2015-10;2015
13;1/10/2015 00:00;ARA2EO;PEARAU2G;PARQUE EOLICO ARAUCO II SAPEM;NOROESTE;Noa;EO;Renovable;Eólica;25.2;2018-10-08 15:47:17.851306;4;10;2015-10;2015
14;1/10/2015 00:00;ARAUEO;PEARAUCG;PARQUE EOLICO ARAUCO SAPEM;NOROESTE;Noa;EO;Renovable;Eólica;25.2;2018-10-08 15:47:17.851306;4;10;2015-10;2015
15;1/10/2015 00:00;ARGE;SIDERCAC;SIDERCA SA(EX ARGENER-GEN.PAR);BUENOS AIRES;Gba - Litoral - Buenos Aires;TG;Térmica;Turbina a gas;163.3;2018-10-08 15:47:17.851306;4;10;2015-10;2015
16;1/10/2015 00:00;ARIS;CTARIVSG;CT ARISTOBU.DEL VALLE-SOENERGY;NORESTE;Nea;DI;Térmica;Motor Diesel;15;2018-10-08 15:47:17.851306;4;10;2015-10;2015
17;1/10/2015 00:00;ARMA;CTLARM2G;CT LAS ARMAS II - EMGASUD;BUENOS AIRES;Gba - Litoral - Buenos Aires;TG;Térmica;Turbina a gas;23.37;2018-10-08 15:47:17.851306;4;10;2015-10;2015
18;1/10/2015 00:00;ARMA;CTLARMAG;CT LAS ARMAS - EMGASUD;BUENOS AIRES;Gba - Litoral - Buenos Aires;TG;Térmica;Turbina a gas;10.4;2018-10-08 15:47:17.851306;4;10;2015-10;2015
19;1/10/2015 00:00;ARRE;CTARREAG;CT ARRECIFES-AGGREKO;BUENOS AIRES;Gba - Litoral - Buenos Aires;DI;Térmica;Motor Diesel;20;2018-10-08 15:47:17.851306;4;10;2015-10;2015
20;1/10/2015 00:00;ARROHI;HCHOCONG;HIDROELECTRICA EL CHOCON SA;COMAHUE;Comahue;HI;Hidráulica;Hidráulica;127.8;2018-10-08 15:47:17.851306;4;10;2015-10;2015
21;1/10/2015 00:00;ATU2;NUCLEOEG;NUCLEOELECTRICA ARG. SA;BUENOS AIRES;Gba - Litoral - Buenos Aires;NU;Nuclear;Nuclear;720.3;2018-10-08 15:47:17.851306;4;10;2015-10;2015
22;1/10/2015 00:00;ATUC;NUCLEOEG;NUCLEOELECTRICA ARG. SA;BUENOS AIRES;Gba - Litoral - Buenos Aires;NU;Nuclear;Nuclear;362;2018-10-08 15:47:17.851306;4;10;2015-10;2015
23;1/10/2015 00:00;AVAL;CTALVALG;C.TERMICA ALTO VALLE;COMAHUE;Comahue;TG;Térmica;Ciclos Combinados;50;2018-10-08 15:47:17.851306;4;10;2015-10;2015
24;1/10/2015 00:00;AVAL;CTALVALG;C.TERMICA ALTO VALLE;COMAHUE;Comahue;TG;Térmica;Turbina a gas;16;2018-10-08 15:47:17.851306;4;10;2015-10;2015
25;1/10/2015 00:00;AVAL;CTALVALG;C.TERMICA ALTO VALLE;COMAHUE;Comahue;TV;Térmica;Ciclos Combinados;30;2018-10-08 15:47:17.851306;4;10;2015-10;2015
26;1/10/2015 00:00;BARI;CTBARISG;CT BARILOCHE -SOENERGY;COMAHUE;Comahue;DI;Térmica;Motor Diesel;20;2018-10-08 15:47:17.851306;4;10;2015-10;2015
27;1/10/2015 00:00;BBLA;CPBUENAG;CENTRAL PIEDRABUENA S.A.;BUENOS AIRES;Gba - Litoral - Buenos Aires;TV;Térmica;Turbovapor;620;2018-10-08 15:47:17.851306;4;10;2015-10;2015
28;1/10/2015 00:00;BLOP;CTBRILOG;CT BRIGADIER LOPEZ - ENARSA;LITORAL;Gba - Litoral - Buenos Aires;TG;Térmica;Turbina a gas;280;2018-10-08 15:47:17.851306;4;10;2015-10;2015
29;1/10/2015 00:00;BRAG;CTBRAGAG;CT BRAGADO - EMGASUD;BUENOS AIRES;Gba - Litoral - Buenos Aires;TG;Térmica;Turbina a gas;49.8;2018-10-08 15:47:17.851306;4;10;2015-10;2015
30;1/10/2015 00:00;BROW;TGBROWNG;TERMOELECTRICA GUILLERMO BROWN;BUENOS AIRES;Gba - Litoral - Buenos Aires;TG;Térmica;Turbina a gas;385.7;2018-10-08 15:47:17.851306;4;10;2015-10;2015
31;1/10/2015 00:00;BSAS;CCOSTANG;ENDESA COSTANERA SA;GRAN BS.AS.;Gba - Litoral - Buenos Aires;TG;Térmica;Ciclos Combinados;218.5;2018-10-08 15:47:17.851306;4;10;2015-10;2015
32;1/10/2015 00:00;BSAS;CCOSTANG;ENDESA COSTANERA SA;GRAN BS.AS.;Gba - Litoral - Buenos Aires;TV;Térmica;Ciclos Combinados;103.1;2018-10-08 15:47:17.851306;4;10;2015-10;2015
33;1/10/2015 00:00;BVIL;CTBELLSG;CT BELL VILLE - SULLAIR;CENTRO;Centro;DI;Térmica;Motor Diesel;15.6;2018-10-08 15:47:17.851306;4;10;2015-10;2015
34;1/10/2015 00:00;CACH;EDESASAG;EDESASA GENERACION;NOROESTE;Noa;DI;Térmica;Motor Diesel;0.6;2018-10-08 15:47:17.851306;4;10;2015-10;2015
35;1/10/2015 00:00;CACHHI;CEMPPOMG;CONSORCIO POTRERILLOS;CUYO;Cuyo;HI;Hidráulica;Hidráulica;120;2018-10-08 15:47:17.851306;4;10;2015-10;2015
36;1/10/2015 00:00;CADIHI;HTUCUMAG;HIDROELECTRICA TUCUMAN SA;NOROESTE;Noa;HI;Hidráulica;Hidráulica;12.6;2018-10-08 15:47:17.851306;4;10;2015-10;2015
37;1/10/2015 00:00;CAFA;EDESASAG;EDESASA GENERACION;NOROESTE;Noa;DI;Térmica;Motor Diesel;3.71;2018-10-08 15:47:17.851306;4;10;2015-10;2015
38;1/10/2015 00:00;CALEHI;EPECORDG;EPEC GENERACION;CENTRO;Centro;HI;Hidráulica;Hidráulica;4.4;2018-10-08 15:47:17.851306;4;10;2015-10;2015
39;1/10/2015 00:00;CAPE;CAPEX-QA;CAPEX S.A. AUTOGENERADOR;COMAHUE;Comahue;TG;Térmica;Ciclos Combinados;176.1;2018-10-08 15:47:17.851306;4;10;2015-10;2015
40;1/10/2015 00:00;CAPE;CAPEX-QA;CAPEX S.A. AUTOGENERADOR;COMAHUE;Comahue;TV;Térmica;Ciclos Combinados;301;2018-10-08 15:47:17.851306;4;10;2015-10;2015
41;1/10/2015 00:00;CARL;EPECORDG;EPEC GENERACION;CENTRO;Centro;DI;Térmica;Motor Diesel;11.22;2018-10-08 15:47:17.851306;4;10;2015-10;2015
42;1/10/2015 00:00;CARRHI;CEMPPOMG;CONSORCIO POTRERILLOS;CUYO;Cuyo;HI;Hidráulica;Hidráulica;17;2018-10-08 15:47:17.851306;4;10;2015-10;2015
43;1/10/2015 00:00;CASSHI;EPECORDG;EPEC GENERACION;CENTRO;Centro;HI;Hidráulica;Hidráulica;16.2;2018-10-08 15:47:17.851306;4;10;2015-10;2015
44;1/10/2015 00:00;CAST;CTCASTAG;CT CASTELLI - AGGREKO;NORESTE;Nea;DI;Térmica;Motor Diesel;15;2018-10-08 15:47:17.851306;4;10;2015-10;2015
45;1/10/2015 00:00;CATA;EDECATKG;EDECAT GENERACION;NOROESTE;Noa;DI;Térmica;Motor Diesel;17.56;2018-10-08 15:47:17.851306;4;10;2015-10;2015
46;1/10/2015 00:00;CATD;CTCATASG;CT CATAMARCA - SECCO;NOROESTE;Noa;DI;Térmica;Motor Diesel;19.2;2018-10-08 15:47:17.851306;4;10;2015-10;2015
47;1/10/2015 00:00;CAVI;CTCAVISG;CT CAVIAHUE - SECCO;COMAHUE;Comahue;DI;Térmica;Motor Diesel;5;2018-10-08 15:47:17.851306;4;10;2015-10;2015
48;1/10/2015 00:00;CCOLHI;CHCARACG;C.H.LOS CARACOLES - EPSE;CUYO;Cuyo;HI;Hidráulica;Hidráulica;121.4;2018-10-08 15:47:17.851306;4;10;2015-10;2015
49;1/10/2015 00:00;CCORHI;AESJURAG;AES JURAMENTO;NOROESTE;Noa;HI;Hidráulica;Hidráulica;100.5;2018-10-08 15:47:17.851306;4;10;2015-10;2015
50;1/10/2015 00:00;CDPI;CTMENZAG;C. TERMICAS MENDOZA SA;CUYO;Cuyo;TG;Térmica;Turbina a gas;14;2018-10-08 15:47:17.851306;4;10;2015-10;2015
51;1/10/2015 00:00;CEJEHI;EPECORDG;EPEC GENERACION;CENTRO;Centro;HI;Hidráulica;Hidráulica;1.1;2018-10-08 15:47:17.851306;4;10;2015-10;2015
52;1/10/2015 00:00;CEMO;UGMCEN1G;UGEM 04 - CENTRO - ENARSA;(en blanco);Unidades Móviles;GM;Térmica;Motor Diesel;19.6;2018-10-08 15:47:17.851306;4;10;2015-10;2015
53;1/10/2015 00:00;CEMO;UGMCEN2G;UGEM 08 - CENTRO - ENARSA;(en blanco);Unidades Móviles;GM;Térmica;Motor Diesel;20;2018-10-08 15:47:17.851306;4;10;2015-10;2015
54;1/10/2015 00:00;CEMO;UGMCEN3G;UGEM 17 - CENTRO - ENARSA;(en blanco);Unidades Móviles;GM;Térmica;Motor Diesel;20.08;2018-10-08 15:47:17.851306;4;10;2015-10;2015
55;1/10/2015 00:00;CEMO;UGMCEN4G;UGEM 18 - CENTRO - ENARSA;(en blanco);Unidades Móviles;GM;Térmica;Motor Diesel;9.92;2018-10-08 15:47:17.851306;4;10;2015-10;2015
56;1/10/2015 00:00;CERE;CTCERSSG;CT CERES - SECCO;LITORAL;Gba - Litoral - Buenos Aires;DI;Térmica;Motor Diesel;18;2018-10-08 15:47:17.851306;4;10;2015-10;2015
